"序号	名称					饮食	旅游	运动	学习	热度"		类别（0代表学校，1代表景点）
"1	清华大学（北京）		0.10	0.10	0.20	0.60	100"		0
"2	北京邮电大学			0.10	0.05	0.15	0.70	85"		0
"3	北京大学				0.10	0.15	0.15	0.60	99"		0
"4	中国人民大学			0.15	0.05	0.10	0.70	88"		0
"5	北京航空航天大学		0.10	0.05	0.20	0.65	92"		0
"6	北京师范大学			0.10	0.10	0.15	0.65	90"		0
"7	中国农业大学			0.20	0.05	0.10	0.65	80"		0
"8	中央民族大学			0.15	0.10	0.10	0.65	78"		0
"9	北京理工大学			0.10	0.05	0.20	0.65	89"		0
"10	北京交通大学			0.10	0.05	0.15	0.70	83"		0
"11	北京科技大学			0.10	0.05	0.15	0.70	81"		0
"12	中国政法大学			0.15	0.05	0.10	0.70	86"		0
"13	中央财经大学			0.15	0.05	0.10	0.70	87"		0
"14	北京外国语大学			0.15	0.10	0.10	0.65	84"		0
"15	北京工业大学			0.10	0.05	0.15	0.70	75"		0
"16	复旦大学（上海）		0.15	0.10	0.15	0.60	97"		0
"17	上海交通大学			0.10	0.10	0.15	0.65	96"		0
"18	同济大学				0.15	0.10	0.15	0.60	93"		0
"19	华东师范大学			0.10	0.10	0.10	0.70	88"		0
"20	上海大学				0.15	0.05	0.15	0.65	79"		0
"21	东华大学（上海）		0.10	0.05	0.15	0.70	76"		0
"22	上海财经大学			0.15	0.05	0.10	0.70	91"		0
"23	南开大学（天津）		0.15	0.10	0.10	0.65	89"		0
"24	天津大学				0.10	0.05	0.15	0.70	90"		0
"25	重庆大学				0.15	0.05	0.15	0.65	85"		0
"26	西南大学（重庆）		0.15	0.10	0.10	0.65	78"		0	
"27	浙江大学（浙江）		0.15	0.10	0.15	0.60	98"		0
"28	浙江工业大学			0.10	0.05	0.15	0.70	73"		0
"29	宁波大学				0.15	0.05	0.10	0.70	70"		0
"30	南京大学（江苏）		0.10	0.10	0.15	0.65	95"		0
"31	东南大学				0.10	0.05	0.15	0.70	88"		0
"32	南京航空航天大学		0.10	0.05	0.15	0.70	82"		0
"33	南京理工大学			0.10	0.05	0.15	0.70	81"		0
"34	河海大学				0.10	0.05	0.15	0.70	77"		0
"35	苏州大学				0.15	0.10	0.10	0.65	83"		0
"36	中国矿业大学			0.10	0.05	0.15	0.70	75"		0
"37	江南大学				0.20	0.05	0.10	0.65	74"		0
"38	武汉大学（湖北）		0.15	0.15	0.10	0.60	94"		0
"39	华中科技大学			0.10	0.05	0.15	0.70	93"		0
"40	武汉理工大学			0.10	0.05	0.15	0.70	80"		0
"41	华中师范大学（湖北）		0.10	0.05	0.10	0.75	72"		0
"42	中山大学（广东）		0.15	0.10	0.15	0.60	95"		0
"43	华南理工大学（广东）		0.10	0.05	0.15	0.70	89"		0
"44	暨南大学（广东）		0.15	0.10	0.10	0.65	82"		0
