"序号	名称					饮食	旅游	运动	学习	热度"
"1	清华大学（北京）		0.10	0.10	0.20	0.60	100"
"2	北京邮电大学			0.10	0.05	0.15	0.70	85"
"3	北京大学				0.10	0.15	0.15	0.60	99"
"4	中国人民大学			0.15	0.05	0.10	0.70	88"
"5	北京航空航天大学		0.10	0.05	0.20	0.65	92"
"6	北京师范大学			0.10	0.10	0.15	0.65	90"
"7	中国农业大学			0.20	0.05	0.10	0.65	80"
"8	中央民族大学			0.15	0.10	0.10	0.65	78"
"9	北京理工大学			0.10	0.05	0.20	0.65	89"
"10	北京交通大学			0.10	0.05	0.15	0.70	83"
"11	北京科技大学			0.10	0.05	0.15	0.70	81"
"12	中国政法大学			0.15	0.05	0.10	0.70	86"
"13	中央财经大学			0.15	0.05	0.10	0.70	87"
"14	北京外国语大学			0.15	0.10	0.10	0.65	84"
"15	北京工业大学			0.10	0.05	0.15	0.70	75"
"16	复旦大学（上海）		0.15	0.10	0.15	0.60	97"
"17	上海交通大学			0.10	0.10	0.15	0.65	96"
"18	同济大学				0.15	0.10	0.15	0.60	93"
"19	华东师范大学			0.10	0.10	0.10	0.70	88"
"20	上海大学				0.15	0.05	0.15	0.65	79"
"21	东华大学（上海）		0.10	0.05	0.15	0.70	76"
"22	上海财经大学			0.15	0.05	0.10	0.70	91"
"23	南开大学（天津）		0.15	0.10	0.10	0.65	89"
"24	天津大学				0.10	0.05	0.15	0.70	90"
"25	重庆大学				0.15	0.05	0.15	0.65	85"
"26	西南大学（重庆）		0.15	0.10	0.10	0.65	78"
"27	浙江大学（浙江）		0.15	0.10	0.15	0.60	98"
"28	浙江工业大学			0.10	0.05	0.15	0.70	73"
"29	宁波大学				0.15	0.05	0.10	0.70	70"
"30	南京大学（江苏）		0.10	0.10	0.15	0.65	95"
"31	东南大学				0.10	0.05	0.15	0.70	88"
"32	南京航空航天大学		0.10	0.05	0.15	0.70	82"
"33	南京理工大学			0.10	0.05	0.15	0.70	81"
"34	河海大学				0.10	0.05	0.15	0.70	77"
"35	苏州大学				0.15	0.10	0.10	0.65	83"
"36	中国矿业大学			0.10	0.05	0.15	0.70	75"
"37	江南大学				0.20	0.05	0.10	0.65	74"
"38	武汉大学（湖北）		0.15	0.15	0.10	0.60	94"
